bf coarse policy vs bf10,bf coarse policy vs bf1,bf10 vs bf1,ms1 vd bf1,ms1 vs bf1
0.047553300857543945,0.8665589094161987,0.8747284412384033,0.0,0.857437
-0.2154242992401123,0.8918055295944214,0.8773369789123535,0.0,0.65901935
-0.12437081336975098,0.8392199277877808,0.8205183744430542,0.0,0.7231344
-0.024325847625732422,0.6493971347808838,0.9887316226959229,0.0,0.73089945
-0.2377943992614746,0.9736032485961914,0.8898739814758301,0.0,0.940876
-0.1765751838684082,0.8515150547027588,0.9292418956756592,0.0,0.71540356
-0.15910005569458008,0.8664323091506958,0.8435138463973999,0.0,0.7006686
-0.09352493286132812,0.752754807472229,0.7484567165374756,0.0,0.8847909
-0.11937308311462402,0.8154656887054443,0.8761743307113647,0.0,0.75460994
-0.088043212890625,0.8857572078704834,1.0244700908660889,0.0,0.7568321
-0.12001514434814453,0.9542019367218018,1.0808370113372803,0.0,0.64800143
-0.10487604141235352,0.8980588912963867,1.040541410446167,0.0,0.71610415
-0.09172916412353516,0.9072340726852417,0.9435491561889648,0.0,0.65903103
-0.0068705081939697266,0.9313546419143677,0.6406717300415039,0.0,0.78503966
-0.17713046073913574,0.8200461864471436,0.9418753385543823,0.0,0.75869155
-0.08061456680297852,0.8527498245239258,0.8955830335617065,0.0,0.6732546
-0.16930794715881348,0.9479752779006958,1.092260718345642,0.0,0.77054787
-0.18746566772460938,0.7782540321350098,0.7124466896057129,0.0,0.756575
-0.0585939884185791,0.7395929098129272,0.9474196434020996,0.0,0.7416773
-0.20355820655822754,0.952580451965332,0.9924640655517578,0.0,0.8111044
-0.12004351615905762,0.948341965675354,0.847032904624939,0.0,0.8286321
-0.17300915718078613,0.6610696315765381,0.9462770223617554,0.0,0.7805631
-0.1764845848083496,0.8222106695175171,0.9189757108688354,0.0,0.7355318
-0.11826539039611816,1.0379540920257568,1.0120214223861694,0.0,0.68145835
-0.24129319190979004,0.9242438077926636,0.8022912740707397,0.0,0.74875367
-0.10297346115112305,0.708426833152771,1.0675368309020996,0.0,0.778267
-0.15462279319763184,0.735094428062439,0.8406145572662354,0.0,0.75640345
-0.07638835906982422,0.8864014148712158,0.7819513082504272,0.0,0.81456316
-0.10868167877197266,0.7947858572006226,0.7256569862365723,0.0,0.80081725
-0.1961519718170166,0.9378505945205688,0.8269748687744141,0.0,0.8199644
-0.13624882698059082,0.8569293022155762,0.79088294506073,0.0,0.79166126
-0.05345726013183594,0.8309693336486816,1.0275053977966309,0.0,0.77704
-0.23118853569030762,0.940922737121582,1.1211094856262207,0.0,0.59894
-0.2190074920654297,0.8003950119018555,1.1486537456512451,0.0,0.7070148
-0.05957913398742676,0.571001410484314,0.9784824848175049,0.0,0.7879286
-0.10975456237792969,0.8824275732040405,0.9311246871948242,0.0,0.7640661
-0.09128665924072266,0.808137059211731,1.1446808576583862,0.0,0.58544946
-0.1296837329864502,0.8112118244171143,1.0290212631225586,0.0,0.8662958
-0.2258131504058838,0.9615606069564819,0.9477154016494751,0.0,0.5982821
-0.13590788841247559,0.9626656770706177,0.9385216236114502,0.0,0.57120264
-0.18977832794189453,0.44349706172943115,0.8544294834136963,0.0,0.8204508
-0.07697916030883789,0.5833159685134888,0.8106883764266968,0.0,0.84488976
-0.08521056175231934,0.891731858253479,0.8421435356140137,0.0,0.7861043
-0.24992108345031738,0.7543361186981201,1.0793508291244507,0.0,0.5781368
-0.0840907096862793,0.8295179605484009,0.9832085371017456,0.0,0.83449674
-0.16836071014404297,0.874832034111023,0.902847170829773,0.0,0.70348656
-0.04305005073547363,0.7539188861846924,1.0845659971237183,0.0,0.66297543
-0.23495984077453613,0.71340012550354,0.7920528650283813,0.0,0.7566098
-0.030580520629882812,0.7457605600357056,0.846062183380127,0.0,0.8090067
-0.06921672821044922,0.7480767965316772,1.0135973691940308,0.0,0.9174727
0.0042266845703125,0.7464219331741333,0.9685678482055664,0.0,0.93276787
-0.07624173164367676,0.5541967153549194,0.9314231872558594,0.0,0.08524895
-0.062088727951049805,0.8083885908126831,0.9709421396255493,0.0,0.674014
-0.20438003540039062,0.8817987442016602,1.0378050804138184,0.0,0.6960343
-0.20621705055236816,1.0535707473754883,0.9792501926422119,0.0,0.87673795
-0.10384225845336914,0.8587387800216675,0.9756754636764526,0.0,0.8639389
-0.023632526397705078,0.8499051332473755,0.9633417129516602,0.0,0.74175906
-0.28464174270629883,0.7348175048828125,0.9505190849304199,0.0,0.5745324
-0.13364577293395996,0.8622511625289917,1.0918604135513306,0.0,0.75102377
-0.10349678993225098,0.8357477188110352,1.048887848854065,0.0,0.95003986
-0.17697381973266602,0.8063544034957886,0.8070138692855835,0.0,0.80425346
-0.0950467586517334,0.9547719955444336,1.015844464302063,0.0,0.83286893
-0.15819215774536133,0.6389673948287964,1.0417473316192627,0.0,0.78704023
-0.18405461311340332,0.5504283905029297,0.7990608215332031,0.0,0.79005504
-0.06818389892578125,1.0525976419448853,0.7507169246673584,0.0,0.6159302
-0.2029130458831787,0.8553231954574585,0.9986262321472168,0.0,0.74436295
-0.012996435165405273,0.6749361753463745,0.9794056415557861,0.0,0.6471399
-0.017212390899658203,0.6525136232376099,0.875580906867981,0.0,0.7334682
-0.1127934455871582,0.6550108194351196,1.1196411848068237,0.0,0.7825538
-0.18166828155517578,0.7561476230621338,0.9344030618667603,0.0,0.903093
-0.14201641082763672,0.7792420387268066,1.0029752254486084,0.0,0.61981714
-0.08840155601501465,0.8124550580978394,1.0663633346557617,0.0,0.8234451
-0.14877724647521973,0.8569746017456055,1.0864614248275757,0.0,0.6804153
-0.006693124771118164,0.8201045989990234,0.6559422016143799,0.0,0.92037165
-0.13537263870239258,0.9268015623092651,1.0771102905273438,0.0,0.76657116
-0.012847185134887695,0.9214314222335815,1.0101596117019653,0.0,0.8301301
-0.09479475021362305,0.41914260387420654,0.996452808380127,0.0,0.81459904
-0.07767653465270996,0.7334365844726562,0.995543360710144,0.0,0.75567234
-0.0635218620300293,0.8379087448120117,0.9108771085739136,0.0,0.8022547
-0.1773526668548584,0.7959204912185669,0.9661754369735718,0.0,0.9263468
-0.06803512573242188,0.8899978399276733,0.9663519859313965,0.0,0.5256095
-0.06669950485229492,0.6774462461471558,0.934372067451477,0.0,0.78436995
-0.16468429565429688,0.67476487159729,1.0827244520187378,0.0,0.5688696
-0.21342086791992188,0.7740715742111206,0.966909646987915,0.0,0.79498756
-0.19606566429138184,0.6099162101745605,0.9800801277160645,0.0,0.7354547
-0.15468597412109375,0.943407416343689,1.0665631294250488,0.0,0.88271904
-0.3002924919128418,0.7898708581924438,0.8255327939987183,0.0,0.80486023
-0.11145305633544922,0.916947603225708,0.8826279640197754,0.0,0.733551
-0.1618483066558838,0.584574818611145,1.032194972038269,0.0,0.49848318
0.02051568031311035,0.8986974954605103,1.0410324335098267,0.0,0.7886107
-0.008829832077026367,0.8290425539016724,0.9183764457702637,0.0,0.84812915
-0.1473982334136963,0.9701088666915894,0.9063552618026733,0.0,0.7270975
-0.08514857292175293,0.8807021379470825,0.9463475942611694,0.0,0.81412554
-0.02387237548828125,1.008882999420166,0.9104436635971069,0.0,0.69836664
-0.16602444648742676,0.9391752481460571,0.9518593549728394,0.0,0.7932166
-0.031504154205322266,0.7646300792694092,0.8279029130935669,0.0,0.8070235
-0.09280252456665039,0.8707355260848999,1.146759033203125,0.0,0.7549412
-0.002724885940551758,0.9962865114212036,0.7985917329788208,0.0,0.67147636
-0.10742902755737305,0.9112106561660767,0.9848668575286865,0.0,0.7336502
-0.006003856658935547,0.8852598667144775,0.9757922887802124,0.0,0.745613
